                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.75497,                0.39244,                0.88403,                0.99897,                0.99488,                0.99468,                0.82708,                0.71939,                0.34637,                0.85226,             0.00054435,             0.00054435,             0.00054435
                     50,                0.73281,                0.37813,                0.87649,                      1,                0.99731,                  0.995,                0.84254,                0.71364,                0.33124,                0.84665,             0.00054082,             0.00054082,             0.00054082
                     51,                 0.7386,                  0.384,                0.87853,                0.99753,                0.99658,                0.99497,                 0.8465,                0.71913,                0.33867,                0.85037,             0.00053728,             0.00053728,             0.00053728
                     52,                0.73415,                0.38265,                0.87974,                0.99939,                0.99744,                  0.995,                0.84389,                0.73705,                0.35564,                 0.8506,             0.00053375,             0.00053375,             0.00053375
                     53,                0.73617,                0.38367,                0.87537,                0.99829,                0.99456,                  0.995,                0.84836,                0.71293,                0.33408,                0.84584,             0.00053022,             0.00053022,             0.00053022
                     54,                0.72847,                0.37467,                0.87461,                 0.9977,                0.99744,                0.99479,                 0.8471,                 0.7171,                0.33822,                0.84854,             0.00052668,             0.00052668,             0.00052668
                     55,                 0.7338,                0.38365,                0.87855,                0.99794,                0.99744,                0.99498,                0.84849,                0.71695,                0.34067,                0.84504,             0.00052315,             0.00052315,             0.00052315
                     56,                0.73469,                0.38131,                0.87587,                0.99775,                0.99658,                0.99498,                0.85161,                0.72047,                0.33734,                0.84311,             0.00051961,             0.00051961,             0.00051961
                     57,                0.74473,                0.38064,                0.87872,                0.99658,                0.99658,                0.99499,                0.85114,                0.71974,                0.33806,                0.84799,             0.00051608,             0.00051608,             0.00051608
                     58,                0.74329,                0.38606,                0.87995,                      1,                0.99665,                  0.995,                0.83952,                0.75002,                0.35726,                0.85297,             0.00051254,             0.00051254,             0.00051254
                     59,                0.72787,                0.37356,                0.87457,                0.99778,                0.99744,                0.99497,                0.84489,                0.72251,                0.33356,                0.84646,             0.00050901,             0.00050901,             0.00050901
                     60,                0.72925,                0.37174,                0.87271,                 0.9989,                0.99573,                  0.995,                 0.8569,                0.71002,                0.33497,                0.84633,             0.00050548,             0.00050548,             0.00050548
                     61,                 0.7164,                0.36924,                0.87114,                0.99658,                0.99525,                0.99463,                0.84951,                0.70402,                0.34129,                0.84591,             0.00050194,             0.00050194,             0.00050194
                     62,                0.72752,                0.37655,                0.87687,                 0.9998,                0.99744,                  0.995,                0.84053,                0.70331,                0.33202,                0.84177,             0.00049841,             0.00049841,             0.00049841
                     63,                0.71611,                0.36778,                0.87054,                0.99999,                0.99744,                  0.995,                0.85243,                0.70405,                0.32535,                0.84486,             0.00049487,             0.00049487,             0.00049487
