                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.72126,                0.37159,                0.87035,                0.99997,                0.99573,                  0.995,                0.83953,                0.74285,                0.33987,                0.85038,             0.00050194,             0.00050194,             0.00050194
                     62,                0.72707,                0.37821,                0.87578,                0.99799,                0.99573,                0.99497,                0.85104,                0.71646,                0.33474,                0.84421,             0.00049841,             0.00049841,             0.00049841
                     63,                0.71742,                0.37143,                0.87192,                0.99744,                0.99727,                0.99484,                0.84913,                0.72114,                0.33334,                 0.8439,             0.00049487,             0.00049487,             0.00049487
                     64,                0.72699,                0.37224,                0.87574,                0.99544,                0.99488,                0.99462,                0.85275,                0.72823,                0.33647,                0.85433,             0.00049134,             0.00049134,             0.00049134
                     65,                0.70827,                0.36514,                0.87007,                0.99829,                0.99734,                0.99499,                0.85116,                0.72511,                0.32827,                0.84816,              0.0004878,              0.0004878,              0.0004878
                     66,                0.73276,                0.37066,                0.87234,                0.99819,                0.99744,                  0.995,                0.85194,                0.71424,                 0.3243,                0.84954,             0.00048427,             0.00048427,             0.00048427
                     67,                 0.7063,                0.36338,                0.87213,                0.99618,                0.99573,                0.99476,                0.85202,                0.72971,                0.33125,                0.85213,             0.00048074,             0.00048074,             0.00048074
                     68,                 0.7107,                0.36865,                 0.8729,                0.99809,                0.99658,                0.99499,                0.84676,                0.70996,                0.33558,                0.84505,              0.0004772,              0.0004772,              0.0004772
                     69,                0.71495,                0.36287,                0.87222,                0.99485,                0.99744,                  0.995,                0.84096,                0.71202,                0.33222,                0.84248,             0.00047367,             0.00047367,             0.00047367
                     70,                0.71806,                 0.3677,                0.87509,                0.99864,                0.99573,                0.99474,                0.85147,                0.70327,                0.31966,                0.84408,             0.00047013,             0.00047013,             0.00047013
                     71,                0.71214,                 0.3639,                0.86939,                0.99895,                0.99658,                0.99491,                0.84671,                0.72502,                0.32384,                 0.8457,              0.0004666,              0.0004666,              0.0004666
                     72,                0.69919,                0.36446,                0.86875,                0.99717,                0.99744,                0.99498,                0.84464,                0.71561,                0.33581,                0.84406,             0.00046306,             0.00046306,             0.00046306
                     73,                0.70975,                0.36325,                0.87044,                0.99914,                0.99658,                0.99496,                0.85673,                0.71142,                0.31904,                0.84688,             0.00045953,             0.00045953,             0.00045953
                     74,                 0.6968,                0.35627,                0.86625,                0.99728,                0.99658,                0.99401,                 0.8455,                0.70973,                0.31964,                0.84649,               0.000456,               0.000456,               0.000456
                     75,                0.71012,                 0.3587,                0.86905,                0.99934,                0.99744,                  0.995,                 0.8525,                0.71027,                0.31453,                0.84361,             0.00045246,             0.00045246,             0.00045246
                     76,                0.71705,                0.35998,                0.87384,                0.99905,                0.99658,                0.99473,                0.84574,                0.71994,                0.32009,                0.84361,             0.00044893,             0.00044893,             0.00044893
                     77,                0.70626,                0.36186,                0.86972,                 0.9987,                0.99573,                0.99476,                 0.8534,                0.69998,                0.31012,                0.84468,             0.00044539,             0.00044539,             0.00044539
                     78,                0.71205,                0.36168,                0.87123,                0.99319,                0.99655,                 0.9936,                0.85655,                0.70803,                0.31649,                0.84608,             0.00044186,             0.00044186,             0.00044186
                     79,                0.70885,                0.35535,                0.87151,                0.99703,                0.99488,                  0.994,                0.84573,                0.70313,                0.32226,                 0.8467,             0.00043832,             0.00043832,             0.00043832
                     80,                0.68965,                0.35094,                0.86637,                0.99828,                0.99744,                  0.995,                0.85392,                0.70192,                0.31031,                0.84368,             0.00043479,             0.00043479,             0.00043479
                     81,                0.71651,                0.35739,                 0.8717,                0.99851,                0.99658,                0.99495,                0.85342,                0.71176,                0.32381,                0.84394,             0.00043126,             0.00043126,             0.00043126
                     82,                0.71182,                 0.3555,                0.87069,                0.99899,                0.99744,                 0.9949,                0.85106,                0.70102,                0.32074,                0.84338,             0.00042772,             0.00042772,             0.00042772
                     83,                0.68482,                0.34901,                0.86927,                 0.9973,                0.99658,                0.99415,                0.85452,                0.70101,                0.31894,                0.84409,             0.00042419,             0.00042419,             0.00042419
                     84,                0.68114,                 0.3505,                0.86491,                0.99807,                0.99744,                  0.995,                0.84812,                0.71066,                0.32267,                0.84545,             0.00042065,             0.00042065,             0.00042065
                     85,                0.69296,                0.34852,                0.86668,                      1,                0.99742,                  0.995,                0.85873,                0.70324,                0.31258,                0.84195,             0.00041712,             0.00041712,             0.00041712
                     86,                0.69346,                 0.3496,                0.86963,                0.99901,                0.99744,                0.99499,                0.85784,                0.69873,                0.31287,                0.84446,             0.00041358,             0.00041358,             0.00041358
                     87,                0.70386,                0.35528,                0.87214,                0.99894,                0.99744,                  0.995,                 0.8591,                0.70403,                0.31064,                0.84942,             0.00041005,             0.00041005,             0.00041005
                     88,                0.67805,                0.34502,                0.86892,                      1,                0.99722,                  0.995,                0.85776,                0.68747,                0.30623,                0.84295,             0.00040652,             0.00040652,             0.00040652
                     89,                0.68478,                0.35007,                0.87221,                0.99977,                0.99744,                  0.995,                0.85765,                0.70617,                0.30879,                0.84469,             0.00040298,             0.00040298,             0.00040298
                     90,                0.69367,                0.34793,                0.87046,                0.99903,                0.99744,                  0.995,                0.83349,                0.70013,                0.31831,                0.84263,             0.00039945,             0.00039945,             0.00039945
                     91,                0.69387,                0.34498,                0.86714,                0.99993,                0.99744,                  0.995,                0.84415,                0.70715,                 0.3104,                0.84438,             0.00039591,             0.00039591,             0.00039591
                     92,                0.68709,                0.34247,                0.86944,                0.99725,                0.99744,                  0.995,                0.85872,                0.69533,                 0.3039,                0.83956,             0.00039238,             0.00039238,             0.00039238
                     93,                0.68184,                0.34153,                0.86614,                0.99976,                0.99744,                  0.995,                 0.8506,                0.70318,                0.30914,                0.84082,             0.00038884,             0.00038884,             0.00038884
                     94,                0.68626,                0.34762,                0.86409,                0.99972,                0.99573,                  0.995,                0.86185,                0.69128,                0.29827,                0.84366,             0.00038531,             0.00038531,             0.00038531
                     95,                0.68329,                0.34083,                0.86902,                0.99986,                0.99744,                  0.995,                0.85129,                0.69412,                0.30359,                0.84229,             0.00038178,             0.00038178,             0.00038178
                     96,                0.67062,                0.33996,                0.86318,                0.99983,                0.99744,                  0.995,                0.85837,                0.70781,                0.30494,                0.84767,             0.00037824,             0.00037824,             0.00037824
                     97,                0.68477,                0.33983,                0.86752,                 0.9964,                0.99658,                0.99494,                0.85928,                0.68935,                0.30412,                0.84476,             0.00037471,             0.00037471,             0.00037471
                     98,                0.66943,                0.33794,                0.86383,                0.99648,                0.99744,                0.99497,                0.85092,                0.69503,                0.30792,                0.84601,             0.00037117,             0.00037117,             0.00037117
                     99,                0.68439,                0.34234,                0.87063,                0.99913,                0.99744,                  0.995,                0.86114,                0.68911,                0.30021,                0.84361,             0.00036764,             0.00036764,             0.00036764
                    100,                0.67632,                0.34386,                 0.8699,                0.99909,                0.99744,                  0.995,                0.85957,                0.68847,                0.29921,                0.84504,              0.0003641,              0.0003641,              0.0003641
                    101,                0.68839,                0.34238,                0.86844,                0.99715,                0.99658,                  0.995,                0.85582,                0.68278,                0.30559,                0.84126,             0.00036057,             0.00036057,             0.00036057
                    102,                0.68394,                0.33944,                0.86448,                      1,                0.99658,                  0.995,                0.86767,                0.68232,                0.29632,                0.84433,             0.00035704,             0.00035704,             0.00035704
                    103,                0.68148,                0.34266,                 0.8658,                0.99966,                0.99744,                  0.995,                0.85737,                0.69945,                0.30232,                0.84202,              0.0003535,              0.0003535,              0.0003535
                    104,                0.65846,                0.33238,                0.85789,                0.99811,                0.99658,                  0.995,                0.86019,                0.69214,                0.29952,                0.84024,             0.00034997,             0.00034997,             0.00034997
                    105,                0.67749,                 0.3424,                 0.8643,                0.99971,                0.99744,                  0.995,                0.84988,                0.68778,                0.29804,                0.84571,             0.00034643,             0.00034643,             0.00034643
                    106,                0.67083,                 0.3337,                0.86122,                0.99914,                0.99658,                0.99492,                0.85236,                0.69071,                0.29635,                0.84181,              0.0003429,              0.0003429,              0.0003429
                    107,                0.66551,                 0.3303,                0.85976,                0.99744,                 0.9971,                  0.995,                0.85444,                0.68906,                0.29451,                0.84239,             0.00033936,             0.00033936,             0.00033936
                    108,                0.66714,                0.33215,                0.86013,                0.99916,                0.99573,                  0.995,                0.85401,                0.69504,                0.30539,                0.84711,             0.00033583,             0.00033583,             0.00033583
                    109,                0.67098,                 0.3317,                0.86203,                0.99829,                0.99566,                  0.995,                0.85544,                0.68051,                0.29627,                 0.8381,              0.0003323,              0.0003323,              0.0003323
                    110,                0.66977,                0.33015,                0.86089,                 0.9982,                0.99744,                  0.995,                0.85807,                0.69332,                0.29616,                0.84122,             0.00032876,             0.00032876,             0.00032876
                    111,                0.66205,                0.32888,                0.86005,                0.99744,                0.99731,                  0.995,                0.86004,                0.69283,                0.29614,                 0.8429,             0.00032523,             0.00032523,             0.00032523
                    112,                0.66755,                0.33304,                0.86146,                0.99904,                0.99658,                  0.995,                0.86091,                0.69136,                0.29618,                0.84347,             0.00032169,             0.00032169,             0.00032169
                    113,                0.66698,                0.33256,                 0.8666,                0.99479,                0.99573,                0.99355,                0.86165,                0.69195,                0.29851,                0.84712,             0.00031816,             0.00031816,             0.00031816
                    114,                 0.6603,                0.32797,                0.85862,                0.99649,                0.99744,                0.99494,                 0.8635,                0.68447,                0.29575,                0.84292,             0.00031462,             0.00031462,             0.00031462
                    115,                0.66052,                0.32488,                0.86075,                0.99829,                0.99648,                0.99494,                0.86139,                 0.6919,                0.29237,                0.84033,             0.00031109,             0.00031109,             0.00031109
                    116,                0.66683,                0.32848,                0.86386,                 0.9991,                0.99744,                  0.995,                0.86384,                0.68445,                0.29229,                0.83765,             0.00030756,             0.00030756,             0.00030756
                    117,                0.65852,                0.32481,                 0.8633,                0.99737,                0.99744,                0.99499,                0.86238,                0.69489,                0.29753,                0.83907,             0.00030402,             0.00030402,             0.00030402
